study_id,source,sheet,field,run1,run2,type,key,row,fields,check,status,detail,issue,field_or_row,explanation,suggested_fix,reviewer_decision,corrected_value
hong-2015,consensus,prevalence,,,,only_in_run2,"['sarcopenia', 'hip fracture (male)']","{'Outcome': 'Sarcopenia', 'Exposure': 'Hip fracture (Male)', 'Cases_Exp': 58, 'Cases_Unexp': 480, 'Controls_Exp': 10, 'Controls_Unexp': 783, 'Total_Cases': 69, 'Total_Controls': 1263, 'P': '< 0.001', 'Prevalence_pct': '84.1 vs 38.0', 'Notes': None}",,,,,,,,,,
hong-2015,consensus,prevalence,,,,only_in_run2,"['sarcopenia', 'ankle fracture (female)']","{'Outcome': 'Sarcopenia', 'Exposure': 'Ankle fracture (Female)', 'Cases_Exp': 26, 'Cases_Unexp': 188, 'Controls_Exp': 98, 'Controls_Unexp': 869, 'Total_Cases': 124, 'Total_Controls': 1057, 'P': None, 'Prevalence_pct': '21.0 vs 17.8', 'Notes': None}",,,,,,,,,,
hong-2015,consensus,prevalence,,,,only_in_run2,"['sarcopenia', 'ankle fracture (male)']","{'Outcome': 'Sarcopenia', 'Exposure': 'Ankle fracture (Male)', 'Cases_Exp': 38, 'Cases_Unexp': 480, 'Controls_Exp': 38, 'Controls_Unexp': 783, 'Total_Cases': 76, 'Total_Controls': 1263, 'P': '< 0.001', 'Prevalence_pct': '50.0 vs 38.0', 'Notes': None}",,,,,,,,,,
hong-2018,consensus,study,Population,"1369 community-dwelling elderly subjects (mean age 71.6 years; 66% women) from three urban districts of Seoul and one rural area of Incheon, Korea, aged 65 years or older.",Community-dwelling elderly subjects aged 65 years or older,,,,,,,,,,,,,
hong-2018,consensus,study,sarcopenia_guideline,study-specific,not_applicable,,,,,,,,,,,,,
hong-2018,consensus,study,Year,,2019,,,,,,,,,,,,,
hong-2018,consensus,study,muscle_measurement_tool,"DXA, BIA, dynamometer, functional_test","BIA, dynamometer, functional_test, anthropometry",,,,,,,,,,,,,
hong-2018,consensus,study,Sarcopenia_Definition,"Sarcopenia itself was not defined as a standalone condition. However, 'low lean mass', 'low grip strength', and 'low timed get-up-and-go performance' were components of the 'Dysmobility syndrome'. Cutpoints for these components were determined by receiver-operating characteristics (ROC) analysis using the Youden index.","Not applicable (Study uses 'Dysmobility syndrome' defined as ≥ 3 components among: falls, low lean mass, high fat mass, osteoporosis, low grip strength, and low timed get-up-and-go performance)",,,,,,,,,,,,,
hong-2018,consensus,study,sarcopenia_components,mass+strength+performance,not_applicable,,,,,,,,,,,,,
hong-2018,consensus,study,Time_Period,Baseline data for this analysis was collected from 2014 to 2015.,2014-2015,,,,,,,,,,,,,
hong-2018,consensus,study,Journal,,Osteoporosis International,,,,,,,,,,,,,
hong-2018,consensus,study,Fracture_Type,Morphometric vertebral fracture (VF) defined as a ≥ 25% reduction in the height of vertebral bodies in plain radiographs.,Morphometric vertebral fracture defined as a ≥ 25% reduction in the height of vertebral bodies in plain radiographs,,,,,,,,,,,,,
hong-2018,consensus,groups,,,,field_mismatch,['total'],,"[{'field': 'Age_Notes', 'run1': None, 'run2': 'Calculated from 66% of 1369'}]",,,,,,,,,
hong-2018,consensus,groups,,,,only_in_run1,['dysmobility syndrome'],"{'Group': 'Dysmobility syndrome', 'N': 273, 'Female_N': None, 'Mean_Age': None, 'SD_Age': None, 'Median_Age': None, 'IQR_Age': None, 'Mean_BMI': None, 'SD_BMI': None, 'Age_Notes': None}",,,,,,,,,,
hong-2018,consensus,groups,,,,only_in_run1,['non-dysmobility syndrome'],"{'Group': 'Non-dysmobility syndrome', 'N': 1096, 'Female_N': None, 'Mean_Age': None, 'SD_Age': None, 'Median_Age': None, 'IQR_Age': None, 'Mean_BMI': None, 'SD_BMI': None, 'Age_Notes': None}",,,,,,,,,,
hong-2018,consensus,muscle,,,,only_in_run1,"['anthropometry', 'bmi', 'overall']","{'Modality': 'Anthropometry', 'Metric': 'BMI', 'Unit': 'kg/m2', 'Group': 'Overall', 'N': 1369, 'Value': 24.3, 'SD': 3.1, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': None}",,,,,,,,,,
hong-2018,consensus,muscle,,,,only_in_run1,"['anthropometry', 'bmi', 'no dysmobility syndrome']","{'Modality': 'Anthropometry', 'Metric': 'BMI', 'Unit': 'kg/m2', 'Group': 'No Dysmobility syndrome', 'N': 1096, 'Value': 24.4, 'SD': 2.9, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': None}",,,,,,,,,,
hong-2018,consensus,muscle,,,,only_in_run1,"['anthropometry', 'bmi', 'yes dysmobility syndrome']","{'Modality': 'Anthropometry', 'Metric': 'BMI', 'Unit': 'kg/m2', 'Group': 'Yes Dysmobility syndrome', 'N': 273, 'Value': 23.9, 'SD': 3.6, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': None}",,,,,,,,,,
hong-2018,consensus,muscle,,,,only_in_run1,"['dynamometer', 'prevalence of low grip strength', 'overall']","{'Modality': 'Dynamometer', 'Metric': 'Prevalence of low grip strength', 'Unit': '%', 'Group': 'Overall', 'N': 1369, 'Value': 28, 'SD': None, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'other', 'Notes': '378 subjects'}",,,,,,,,,,
hong-2018,consensus,muscle,,,,only_in_run1,"['dynamometer', 'prevalence of low grip strength', 'no dysmobility syndrome']","{'Modality': 'Dynamometer', 'Metric': 'Prevalence of low grip strength', 'Unit': '%', 'Group': 'No Dysmobility syndrome', 'N': 1096, 'Value': 16, 'SD': None, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'other', 'Notes': '177 subjects'}",,,,,,,,,,
hong-2018,consensus,muscle,,,,only_in_run1,"['dynamometer', 'prevalence of low grip strength', 'yes dysmobility syndrome']","{'Modality': 'Dynamometer', 'Metric': 'Prevalence of low grip strength', 'Unit': '%', 'Group': 'Yes Dysmobility syndrome', 'N': 273, 'Value': 74, 'SD': None, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'other', 'Notes': '201 subjects'}",,,,,,,,,,
hong-2018,consensus,muscle,,,,only_in_run1,"['dxa', 'prevalence of low lean mass', 'overall']","{'Modality': 'DXA', 'Metric': 'Prevalence of low lean mass', 'Unit': '%', 'Group': 'Overall', 'N': 1369, 'Value': 20, 'SD': None, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'other', 'Notes': '279 subjects'}",,,,,,,,,,
hong-2018,consensus,muscle,,,,only_in_run1,"['dxa', 'prevalence of low lean mass', 'no dysmobility syndrome']","{'Modality': 'DXA', 'Metric': 'Prevalence of low lean mass', 'Unit': '%', 'Group': 'No Dysmobility syndrome', 'N': 1096, 'Value': 12, 'SD': None, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'other', 'Notes': '129 subjects'}",,,,,,,,,,
hong-2018,consensus,muscle,,,,only_in_run1,"['dxa', 'prevalence of low lean mass', 'yes dysmobility syndrome']","{'Modality': 'DXA', 'Metric': 'Prevalence of low lean mass', 'Unit': '%', 'Group': 'Yes Dysmobility syndrome', 'N': 273, 'Value': 55, 'SD': None, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'other', 'Notes': '150 subjects'}",,,,,,,,,,
hong-2018,consensus,muscle,,,,only_in_run1,"['dxa', 'prevalence of high fat mass', 'overall']","{'Modality': 'DXA', 'Metric': 'Prevalence of high fat mass', 'Unit': '%', 'Group': 'Overall', 'N': 1369, 'Value': 19, 'SD': None, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'other', 'Notes': '254 subjects'}",,,,,,,,,,
hong-2018,consensus,muscle,,,,only_in_run1,"['dxa', 'prevalence of high fat mass', 'no dysmobility syndrome']","{'Modality': 'DXA', 'Metric': 'Prevalence of high fat mass', 'Unit': '%', 'Group': 'No Dysmobility syndrome', 'N': 1096, 'Value': 14, 'SD': None, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'other', 'Notes': '152 subjects'}",,,,,,,,,,
hong-2018,consensus,muscle,,,,only_in_run1,"['dxa', 'prevalence of high fat mass', 'yes dysmobility syndrome']","{'Modality': 'DXA', 'Metric': 'Prevalence of high fat mass', 'Unit': '%', 'Group': 'Yes Dysmobility syndrome', 'N': 273, 'Value': 37, 'SD': None, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'other', 'Notes': '102 subjects'}",,,,,,,,,,
hong-2018,consensus,muscle,,,,only_in_run1,"['functional', 'prevalence of low tug performance', 'overall']","{'Modality': 'Functional', 'Metric': 'Prevalence of low TUG performance', 'Unit': '%', 'Group': 'Overall', 'N': 1369, 'Value': 18, 'SD': None, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'other', 'Notes': '239 subjects'}",,,,,,,,,,
hong-2018,consensus,muscle,,,,only_in_run1,"['functional', 'prevalence of low tug performance', 'no dysmobility syndrome']","{'Modality': 'Functional', 'Metric': 'Prevalence of low TUG performance', 'Unit': '%', 'Group': 'No Dysmobility syndrome', 'N': 1096, 'Value': 10, 'SD': None, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'other', 'Notes': '105 subjects'}",,,,,,,,,,
hong-2018,consensus,muscle,,,,only_in_run1,"['functional', 'prevalence of low tug performance', 'yes dysmobility syndrome']","{'Modality': 'Functional', 'Metric': 'Prevalence of low TUG performance', 'Unit': '%', 'Group': 'Yes Dysmobility syndrome', 'N': 273, 'Value': 49, 'SD': None, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'other', 'Notes': '134 subjects'}",,,,,,,,,,
hong-2018,consensus,muscle,,,,only_in_run2,"['functional', 'grip_strength', 'low grip strength (total)']","{'Modality': 'Functional', 'Metric': 'Grip_strength', 'Unit': None, 'Group': 'Low grip strength (Total)', 'N': 378, 'Value': None, 'SD': None, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'other', 'Notes': 'Prevalence of low grip strength'}",,,,,,,,,,
hong-2018,consensus,muscle,,,,only_in_run2,"['anthropometry', 'lean_mass', 'low lean mass (total)']","{'Modality': 'Anthropometry', 'Metric': 'Lean_mass', 'Unit': None, 'Group': 'Low lean mass (Total)', 'N': 279, 'Value': None, 'SD': None, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'other', 'Notes': 'Prevalence of low lean mass'}",,,,,,,,,,
hong-2018,consensus,muscle,,,,only_in_run2,"['anthropometry', 'fat_mass', 'high fat mass (total)']","{'Modality': 'Anthropometry', 'Metric': 'Fat_mass', 'Unit': None, 'Group': 'High fat mass (Total)', 'N': 254, 'Value': None, 'SD': None, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'other', 'Notes': 'Prevalence of high fat mass'}",,,,,,,,,,
hong-2018,consensus,muscle,,,,only_in_run2,"['functional', 'tug', 'low tug performance (total)']","{'Modality': 'Functional', 'Metric': 'TUG', 'Unit': None, 'Group': 'Low TUG performance (Total)', 'N': 239, 'Value': None, 'SD': None, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'other', 'Notes': 'Prevalence of low TUG performance'}",,,,,,,,,,
hong-2018,consensus,or,,,,only_in_run1,"['any fracture', 'dysmobility syndrome conventional definition', 'univariable']","{'Outcome': 'Any fracture', 'Predictor': 'Dysmobility syndrome Conventional definition', 'Analysis': 'Univariable', 'Effect': 2.05, 'CI_Lower': 1.54, 'CI_Upper': 2.73, 'P_Value': '<0.001', 'Covariates': 'None', 'Notes': 'OR'}",,,,,,,,,,
hong-2018,consensus,or,,,,only_in_run1,"['any fracture', 'dysmobility syndrome conventional definition', 'multivariable']","{'Outcome': 'Any fracture', 'Predictor': 'Dysmobility syndrome Conventional definition', 'Analysis': 'Multivariable', 'Effect': 1.46, 'CI_Lower': 1.07, 'CI_Upper': 1.98, 'P_Value': '0.048', 'Covariates': 'Not specified', 'Notes': 'OR'}",,,,,,,,,,
hong-2018,consensus,or,,,,only_in_run1,"['morphometric vertebral fracture', 'dysmobility syndrome conventional definition', 'multivariable']","{'Outcome': 'Morphometric vertebral fracture', 'Predictor': 'Dysmobility syndrome Conventional definition', 'Analysis': 'Multivariable', 'Effect': 1.52, 'CI_Lower': 1.08, 'CI_Upper': 2.15, 'P_Value': '0.048', 'Covariates': 'Not specified', 'Notes': 'OR'}",,,,,,,,,,
hong-2018,consensus,or,,,,only_in_run1,"['non-vertebral fracture', 'dysmobility syndrome conventional definition', 'multivariable']","{'Outcome': 'Non-vertebral fracture', 'Predictor': 'Dysmobility syndrome Conventional definition', 'Analysis': 'Multivariable', 'Effect': 1.31, 'CI_Lower': 0.86, 'CI_Upper': 1.98, 'P_Value': '0.588', 'Covariates': 'Not specified', 'Notes': 'OR'}",,,,,,,,,,
hong-2018,consensus,or,,,,only_in_run1,"['any fracture', 'dysmobility syndrome modified definition', 'univariable']","{'Outcome': 'Any fracture', 'Predictor': 'Dysmobility syndrome Modified definition', 'Analysis': 'Univariable', 'Effect': 2.26, 'CI_Lower': 1.75, 'CI_Upper': 2.9, 'P_Value': '<0.001', 'Covariates': 'None', 'Notes': 'OR'}",,,,,,,,,,
hong-2018,consensus,or,,,,only_in_run1,"['any fracture', 'dysmobility syndrome modified definition', 'multivariable']","{'Outcome': 'Any fracture', 'Predictor': 'Dysmobility syndrome Modified definition', 'Analysis': 'Multivariable', 'Effect': 1.84, 'CI_Lower': 1.42, 'CI_Upper': 2.43, 'P_Value': '0.002', 'Covariates': 'Not specified', 'Notes': 'OR'}",,,,,,,,,,
hong-2018,consensus,or,,,,only_in_run1,"['morphometric vertebral fracture', 'dysmobility syndrome modified definition', 'multivariable']","{'Outcome': 'Morphometric vertebral fracture', 'Predictor': 'Dysmobility syndrome Modified definition', 'Analysis': 'Multivariable', 'Effect': 1.76, 'CI_Lower': 1.29, 'CI_Upper': 2.4, 'P_Value': '0.001', 'Covariates': 'Not specified', 'Notes': 'OR'}",,,,,,,,,,
hong-2018,consensus,or,,,,only_in_run1,"['non-vertebral fracture', 'dysmobility syndrome modified definition', 'multivariable']","{'Outcome': 'Non-vertebral fracture', 'Predictor': 'Dysmobility syndrome Modified definition', 'Analysis': 'Multivariable', 'Effect': 1.79, 'CI_Lower': 1.23, 'CI_Upper': 2.6, 'P_Value': '0.006', 'Covariates': 'Not specified', 'Notes': 'OR'}",,,,,,,,,,
hong-2018,consensus,or,,,,field_mismatch,"['any fracture', 'age', 'multivariable']",,"[{'field': 'Covariates', 'run1': 'Not specified', 'run2': 'Dysmobility, Women, Hospitalization, Albumin'}]",,,,,,,,,
hong-2018,consensus,or,,,,field_mismatch,"['morphometric vertebral fracture', 'age', 'multivariable']",,"[{'field': 'Covariates', 'run1': 'Not specified', 'run2': 'Dysmobility, Women, Hospitalization, Albumin'}]",,,,,,,,,
hong-2018,consensus,or,,,,field_mismatch,"['non-vertebral fracture', 'age', 'multivariable']",,"[{'field': 'Covariates', 'run1': 'Not specified', 'run2': 'Dysmobility, Women, Hospitalization, Albumin'}]",,,,,,,,,
hong-2018,consensus,or,,,,field_mismatch,"['any fracture', 'women', 'univariable']",,"[{'field': 'Notes', 'run1': 'OR, vs. men', 'run2': 'OR'}]",,,,,,,,,
hong-2018,consensus,or,,,,field_mismatch,"['any fracture', 'women', 'multivariable']",,"[{'field': 'Covariates', 'run1': 'Not specified', 'run2': 'Dysmobility, Age, Hospitalization, Albumin'}, {'field': 'Notes', 'run1': 'OR, vs. men', 'run2': 'OR'}]",,,,,,,,,
hong-2018,consensus,or,,,,field_mismatch,"['morphometric vertebral fracture', 'women', 'multivariable']",,"[{'field': 'Covariates', 'run1': 'Not specified', 'run2': 'Dysmobility, Age, Hospitalization, Albumin'}, {'field': 'Notes', 'run1': 'OR, vs. men', 'run2': 'OR'}]",,,,,,,,,
hong-2018,consensus,or,,,,field_mismatch,"['non-vertebral fracture', 'women', 'multivariable']",,"[{'field': 'Covariates', 'run1': 'Not specified', 'run2': 'Dysmobility, Age, Hospitalization, Albumin'}, {'field': 'Notes', 'run1': 'OR, vs. men', 'run2': 'OR'}]",,,,,,,,,
hong-2018,consensus,or,,,,only_in_run1,"['any fracture', 'hospitalization during last year', 'univariable']","{'Outcome': 'Any fracture', 'Predictor': 'Hospitalization during last year', 'Analysis': 'Univariable', 'Effect': 1.6, 'CI_Lower': 1.11, 'CI_Upper': 2.3, 'P_Value': '0.012', 'Covariates': 'None', 'Notes': 'OR'}",,,,,,,,,,
hong-2018,consensus,or,,,,only_in_run1,"['any fracture', 'hospitalization during last year', 'multivariable']","{'Outcome': 'Any fracture', 'Predictor': 'Hospitalization during last year', 'Analysis': 'Multivariable', 'Effect': 1.64, 'CI_Lower': 1.12, 'CI_Upper': 2.4, 'P_Value': '0.030', 'Covariates': 'Not specified', 'Notes': 'OR'}",,,,,,,,,,
hong-2018,consensus,or,,,,only_in_run1,"['morphometric vertebral fracture', 'hospitalization during last year', 'multivariable']","{'Outcome': 'Morphometric vertebral fracture', 'Predictor': 'Hospitalization during last year', 'Analysis': 'Multivariable', 'Effect': 1.33, 'CI_Lower': 0.85, 'CI_Upper': 2.07, 'P_Value': '0.609', 'Covariates': 'Not specified', 'Notes': 'OR'}",,,,,,,,,,
hong-2018,consensus,or,,,,only_in_run1,"['non-vertebral fracture', 'hospitalization during last year', 'multivariable']","{'Outcome': 'Non-vertebral fracture', 'Predictor': 'Hospitalization during last year', 'Analysis': 'Multivariable', 'Effect': 2.05, 'CI_Lower': 1.27, 'CI_Upper': 3.31, 'P_Value': '0.009', 'Covariates': 'Not specified', 'Notes': 'OR'}",,,,,,,,,,
hong-2018,consensus,or,,,,field_mismatch,"['any fracture', 'albumin', 'multivariable']",,"[{'field': 'Covariates', 'run1': 'Not specified', 'run2': 'Dysmobility, Age, Women, Hospitalization'}]",,,,,,,,,
hong-2018,consensus,or,,,,field_mismatch,"['morphometric vertebral fracture', 'albumin', 'multivariable']",,"[{'field': 'Covariates', 'run1': 'Not specified', 'run2': 'Dysmobility, Age, Women, Hospitalization'}]",,,,,,,,,
hong-2018,consensus,or,,,,only_in_run1,"['any fracture', 'dichotomized variable dysmobility syndrome, conventional definition', 'multivariable']","{'Outcome': 'Any fracture', 'Predictor': 'Dichotomized variable Dysmobility syndrome, Conventional definition', 'Analysis': 'Multivariable', 'Effect': 1.84, 'CI_Lower': 1.37, 'CI_Upper': 2.48, 'P_Value': '<0.001', 'Covariates': 'Not specified', 'Notes': 'OR, yes vs. no'}",,,,,,,,,,
hong-2018,consensus,or,,,,only_in_run1,"['morphometric vertebral fracture', 'dichotomized variable dysmobility syndrome, conventional definition', 'multivariable']","{'Outcome': 'Morphometric vertebral fracture', 'Predictor': 'Dichotomized variable Dysmobility syndrome, Conventional definition', 'Analysis': 'Multivariable', 'Effect': 1.98, 'CI_Lower': 1.43, 'CI_Upper': 2.75, 'P_Value': '<0.001', 'Covariates': 'Not specified', 'Notes': 'OR, yes vs. no'}",,,,,,,,,,
hong-2018,consensus,or,,,,only_in_run1,"['non-vertebral fracture', 'dichotomized variable dysmobility syndrome, conventional definition', 'multivariable']","{'Outcome': 'Non-vertebral fracture', 'Predictor': 'Dichotomized variable Dysmobility syndrome, Conventional definition', 'Analysis': 'Multivariable', 'Effect': 1.54, 'CI_Lower': 1.03, 'CI_Upper': 2.31, 'P_Value': '0.034', 'Covariates': 'Not specified', 'Notes': 'OR, yes vs. no'}",,,,,,,,,,
hong-2018,consensus,or,,,,only_in_run1,"['any fracture', 'dichotomized variable dysmobility syndrome, modified definition', 'multivariable']","{'Outcome': 'Any fracture', 'Predictor': 'Dichotomized variable Dysmobility syndrome, Modified definition', 'Analysis': 'Multivariable', 'Effect': 2.13, 'CI_Lower': 1.64, 'CI_Upper': 2.75, 'P_Value': '<0.001', 'Covariates': 'Not specified', 'Notes': 'OR, yes vs. no'}",,,,,,,,,,
hong-2018,consensus,or,,,,only_in_run1,"['morphometric vertebral fracture', 'dichotomized variable dysmobility syndrome, modified definition', 'multivariable']","{'Outcome': 'Morphometric vertebral fracture', 'Predictor': 'Dichotomized variable Dysmobility syndrome, Modified definition', 'Analysis': 'Multivariable', 'Effect': 2.12, 'CI_Lower': 1.58, 'CI_Upper': 2.85, 'P_Value': '<0.001', 'Covariates': 'Not specified', 'Notes': 'OR, yes vs. no'}",,,,,,,,,,
hong-2018,consensus,or,,,,only_in_run1,"['non-vertebral fracture', 'dichotomized variable dysmobility syndrome, modified definition', 'multivariable']","{'Outcome': 'Non-vertebral fracture', 'Predictor': 'Dichotomized variable Dysmobility syndrome, Modified definition', 'Analysis': 'Multivariable', 'Effect': 1.87, 'CI_Lower': 1.31, 'CI_Upper': 2.67, 'P_Value': '<0.001', 'Covariates': 'Not specified', 'Notes': 'OR, yes vs. no'}",,,,,,,,,,
hong-2018,consensus,or,,,,only_in_run1,"['any fracture', 'high frax score (20% or higher)', 'multivariable']","{'Outcome': 'Any fracture', 'Predictor': 'High FRAX score (20% or higher)', 'Analysis': 'Multivariable', 'Effect': 7.48, 'CI_Lower': 4.02, 'CI_Upper': 13.92, 'P_Value': '<0.001', 'Covariates': 'Not specified', 'Notes': 'OR, yes vs. no'}",,,,,,,,,,
hong-2018,consensus,or,,,,only_in_run1,"['morphometric vertebral fracture', 'high frax score (20% or higher)', 'multivariable']","{'Outcome': 'Morphometric vertebral fracture', 'Predictor': 'High FRAX score (20% or higher)', 'Analysis': 'Multivariable', 'Effect': 2.89, 'CI_Lower': 1.6, 'CI_Upper': 5.22, 'P_Value': '<0.001', 'Covariates': 'Not specified', 'Notes': 'OR, yes vs. no'}",,,,,,,,,,
hong-2018,consensus,or,,,,only_in_run1,"['non-vertebral fracture', 'high frax score (20% or higher)', 'multivariable']","{'Outcome': 'Non-vertebral fracture', 'Predictor': 'High FRAX score (20% or higher)', 'Analysis': 'Multivariable', 'Effect': 8.21, 'CI_Lower': 4.57, 'CI_Upper': 14.73, 'P_Value': '<0.001', 'Covariates': 'Not specified', 'Notes': 'OR, yes vs. no'}",,,,,,,,,,
hong-2018,consensus,or,,,,only_in_run2,"['any fracture', 'dysmobility syndrome (conventional)', 'univariable']","{'Outcome': 'Any fracture', 'Predictor': 'Dysmobility syndrome (Conventional)', 'Analysis': 'Univariable', 'Effect': 2.05, 'CI_Lower': 1.54, 'CI_Upper': 2.73, 'P_Value': '<0.001', 'Covariates': 'None', 'Notes': 'OR'}",,,,,,,,,,
hong-2018,consensus,or,,,,only_in_run2,"['any fracture', 'dysmobility syndrome (conventional)', 'multivariable']","{'Outcome': 'Any fracture', 'Predictor': 'Dysmobility syndrome (Conventional)', 'Analysis': 'Multivariable', 'Effect': 1.46, 'CI_Lower': 1.07, 'CI_Upper': 1.98, 'P_Value': '0.048', 'Covariates': 'Age, Women, Hospitalization, Albumin', 'Notes': 'OR'}",,,,,,,,,,
hong-2018,consensus,or,,,,only_in_run2,"['morphometric vertebral fracture', 'dysmobility syndrome (conventional)', 'multivariable']","{'Outcome': 'Morphometric vertebral fracture', 'Predictor': 'Dysmobility syndrome (Conventional)', 'Analysis': 'Multivariable', 'Effect': 1.52, 'CI_Lower': 1.08, 'CI_Upper': 2.15, 'P_Value': '0.048', 'Covariates': 'Age, Women, Hospitalization, Albumin', 'Notes': 'OR'}",,,,,,,,,,
hong-2018,consensus,or,,,,only_in_run2,"['non-vertebral fracture', 'dysmobility syndrome (conventional)', 'multivariable']","{'Outcome': 'Non-vertebral fracture', 'Predictor': 'Dysmobility syndrome (Conventional)', 'Analysis': 'Multivariable', 'Effect': 1.31, 'CI_Lower': 0.86, 'CI_Upper': 1.98, 'P_Value': '0.588', 'Covariates': 'Age, Women, Hospitalization, Albumin', 'Notes': 'OR'}",,,,,,,,,,
hong-2018,consensus,or,,,,only_in_run2,"['any fracture', 'dysmobility syndrome (modified)', 'univariable']","{'Outcome': 'Any fracture', 'Predictor': 'Dysmobility syndrome (Modified)', 'Analysis': 'Univariable', 'Effect': 2.26, 'CI_Lower': 1.75, 'CI_Upper': 2.9, 'P_Value': '<0.001', 'Covariates': 'None', 'Notes': 'OR'}",,,,,,,,,,
hong-2018,consensus,or,,,,only_in_run2,"['any fracture', 'dysmobility syndrome (modified)', 'multivariable']","{'Outcome': 'Any fracture', 'Predictor': 'Dysmobility syndrome (Modified)', 'Analysis': 'Multivariable', 'Effect': 1.84, 'CI_Lower': 1.42, 'CI_Upper': 2.43, 'P_Value': '0.002', 'Covariates': 'Age, Women, Hospitalization, Albumin', 'Notes': 'OR'}",,,,,,,,,,
hong-2018,consensus,or,,,,only_in_run2,"['morphometric vertebral fracture', 'dysmobility syndrome (modified)', 'multivariable']","{'Outcome': 'Morphometric vertebral fracture', 'Predictor': 'Dysmobility syndrome (Modified)', 'Analysis': 'Multivariable', 'Effect': 1.76, 'CI_Lower': 1.29, 'CI_Upper': 2.4, 'P_Value': '0.001', 'Covariates': 'Age, Women, Hospitalization, Albumin', 'Notes': 'OR'}",,,,,,,,,,
hong-2018,consensus,or,,,,only_in_run2,"['non-vertebral fracture', 'dysmobility syndrome (modified)', 'multivariable']","{'Outcome': 'Non-vertebral fracture', 'Predictor': 'Dysmobility syndrome (Modified)', 'Analysis': 'Multivariable', 'Effect': 1.79, 'CI_Lower': 1.23, 'CI_Upper': 2.6, 'P_Value': '0.006', 'Covariates': 'Age, Women, Hospitalization, Albumin', 'Notes': 'OR'}",,,,,,,,,,
hong-2018,consensus,or,,,,only_in_run2,"['any fracture', 'hospitalization', 'univariable']","{'Outcome': 'Any fracture', 'Predictor': 'Hospitalization', 'Analysis': 'Univariable', 'Effect': 1.6, 'CI_Lower': 1.11, 'CI_Upper': 2.3, 'P_Value': '0.012', 'Covariates': 'None', 'Notes': 'OR'}",,,,,,,,,,
hong-2018,consensus,or,,,,only_in_run2,"['any fracture', 'hospitalization', 'multivariable']","{'Outcome': 'Any fracture', 'Predictor': 'Hospitalization', 'Analysis': 'Multivariable', 'Effect': 1.64, 'CI_Lower': 1.12, 'CI_Upper': 2.4, 'P_Value': '0.030', 'Covariates': 'Dysmobility, Age, Women, Albumin', 'Notes': 'OR'}",,,,,,,,,,
hong-2018,consensus,or,,,,only_in_run2,"['morphometric vertebral fracture', 'hospitalization', 'multivariable']","{'Outcome': 'Morphometric vertebral fracture', 'Predictor': 'Hospitalization', 'Analysis': 'Multivariable', 'Effect': 1.33, 'CI_Lower': 0.85, 'CI_Upper': 2.07, 'P_Value': '0.609', 'Covariates': 'Dysmobility, Age, Women, Albumin', 'Notes': 'OR'}",,,,,,,,,,
hong-2018,consensus,or,,,,only_in_run2,"['non-vertebral fracture', 'hospitalization', 'multivariable']","{'Outcome': 'Non-vertebral fracture', 'Predictor': 'Hospitalization', 'Analysis': 'Multivariable', 'Effect': 2.05, 'CI_Lower': 1.27, 'CI_Upper': 3.31, 'P_Value': '0.009', 'Covariates': 'Dysmobility, Age, Women, Albumin', 'Notes': 'OR'}",,,,,,,,,,
hong-2018,consensus,prevalence,,,,only_in_run1,"['osteoporosis', 'dysmobility syndrome']","{'Outcome': 'Osteoporosis', 'Exposure': 'Dysmobility syndrome', 'Cases_Exp': 188, 'Cases_Unexp': 267, 'Controls_Exp': 85, 'Controls_Unexp': 829, 'Total_Cases': 455, 'Total_Controls': 914, 'P': '<0.001', 'Prevalence_pct': '69 vs 24', 'Notes': None}",,,,,,,,,,
